총괄현황(전기차),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
시도,지역구분,차종,접수방법,민간공고대수,,,,,,접수대수,,,,,,접수 잔여대수,,출고대수,,출고잔여대수,비고
강원,인제군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","43
 (4)
 (17)
 (0)
 (22)",43,4,17,0,22,"43
 (1)
 (16)
 (0)
 (26)",43,1,16,0,26,0,0,"43
 (1)
 (16)
 (0)
 (26)",43,"0
 (3)
 (1)
 (0)
 (0)","○ 2021년 전기자동차 민간보급사업
※ 우선순위 물량 중 집행되지 않은 물량을 우선순위 외 물량과 ’21.10.01. 18시 기준으로 통합하여 배정

- 전기자동차(승용) 대상자 확정 마감.

- 전기자동차(초소형화물) 대상자 확정 마감.

- 전기자동차(소형화물) 신청기간 만료에 따른 마감."
강원,고성군,전기승용,"*일반: 출고등록순
*우선: -","28
 (0)
 (0)
 (0)
 (28)",28,0,0,0,28,"28
 (1)
 (3)
 (0)
 (24)",28,1,3,0,24,0,4,"28
 (1)
 (3)
 (0)
 (24)",28,"0
 (0)
 (0)
 (0)
 (4)",
강원,양양군,전기승용,"*일반: 접수순
*우선: 접수순","48
 (3)
 (13)
 (0)
 (32)",48,3,13,0,32,"39
 (1)
 (2)
 (0)
 (36)",39,1,2,0,36,9,0,"39
 (1)
 (2)
 (0)
 (36)",39,"9
 (2)
 (11)
 (0)
 (0)",
충북,청주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1210
 (121)
 (474)
 (0)
 (615)",1210,121,474,0,615,"1215
 (140)
 (416)
 (0)
 (659)",1215,140,416,0,659,0,0,"1104
 (128)
 (406)
 (0)
 (570)",1104,"106
 (0)
 (68)
 (0)
 (45)","&lt;2021년 승용전기차 대상자 선정 마감&gt;
- 2021년 더 이상 추가 공고 없습니다(추경X)
- 보조금 지급 금액이 차량별로 다르기에 시스템상 잔여대수와 상이할 수 있습니다"
충북,충주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","630
 (0)
 (0)
 (0)
 (630)",630,0,0,0,630,"652
 (3)
 (158)
 (0)
 (491)",652,3,158,0,491,0,139,"633
 (3)
 (156)
 (0)
 (474)",633,"0
 (0)
 (0)
 (0)
 (156)",
충북,제천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","338
 (0)
 (0)
 (0)
 (338)",338,0,0,0,338,"327
 (9)
 (44)
 (0)
 (274)",327,9,44,0,274,11,64,"327
 (9)
 (44)
 (0)
 (274)",327,"11
 (0)
 (0)
 (0)
 (64)",2021년 전기승용 마감
충북,보은군,전기승용,"*일반: 접수순
*우선: 접수순","31
 (4)
 (10)
 (0)
 (17)",31,4,10,0,17,"28
 (1)
 (7)
 (0)
 (20)",28,1,7,0,20,3,0,"28
 (1)
 (7)
 (0)
 (20)",28,"3
 (3)
 (3)
 (0)
 (0)",
충북,옥천군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","53
 (0)
 (0)
 (0)
 (53)",53,0,0,0,53,"54
 (0)
 (4)
 (0)
 (50)",54,0,4,0,50,0,3,"54
 (0)
 (4)
 (0)
 (50)",54,"0
 (0)
 (0)
 (0)
 (3)",
충북,영동군,전기승용,"*일반: 접수순
*우선: 접수순","46
 (0)
 (0)
 (0)
 (46)",46,0,0,0,46,"46
 (1)
 (3)
 (0)
 (42)",46,1,3,0,42,0,4,"46
 (1)
 (3)
 (0)
 (42)",46,"0
 (0)
 (0)
 (0)
 (4)",전기승용 마감됬으며 자세한 사항은 영동군청 환경과로 문의 바랍니다.
충북,증평군,전기승용,"*일반: 추첨
*우선: 추첨","8
 (0)
 (0)
 (0)
 (8)",8,0,0,0,8,"10
 (1)
 (0)
 (0)
 (9)",10,1,0,0,9,0,0,"7
 (1)
 (0)
 (0)
 (6)",7,"1
 (0)
 (0)
 (0)
 (2)",
충북,진천군,전기승용,"*일반: 출고등록순
*우선: -","110
 (5)
 (2)
 (0)
 (103)",110,5,2,0,103,"104
 (5)
 (8)
 (0)
 (91)",104,5,8,0,91,6,12,"104
 (5)
 (8)
 (0)
 (91)",104,"6
 (0)
 (0)
 (0)
 (12)","1. 신청기간 : 2021. 8. 23.(월) ~ 12.10.(금) 예산 소진 시까지
2. 보급대수 : 승용 약42대(일반지원) 
3. 선정방법 : 구매보조금 지원시스템(ev.or.kr) 출고,등록순
4. 기타 자세한 사항은 진천군 공고 제2021-1138호 참고
※ 국비 전액 소진으로 104대에서 사업 종료 되었습니다."
충북,괴산군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","46
 (0)
 (2)
 (0)
 (44)",46,0,2,0,44,"46
 (1)
 (2)
 (0)
 (43)",46,1,2,0,43,0,1,"46
 (1)
 (2)
 (0)
 (43)",46,"0
 (0)
 (0)
 (0)
 (1)",
충북,음성군,전기승용,"*일반: 접수순
*우선: 접수순","60
 (0)
 (0)
 (0)
 (60)",60,0,0,0,60,"145
 (4)
 (18)
 (0)
 (123)",145,4,18,0,123,0,0,"135
 (3)
 (14)
 (0)
 (118)",135,"0
 (0)
 (0)
 (0)
 (0)",선착순 접수
충북,단양군,전기승용,"*일반: 접수순
*우선: 접수순","55
 (5)
 (0)
 (0)
 (50)",55,5,0,0,50,"58
 (5)
 (1)
 (0)
 (52)",58,5,1,0,52,0,0,"58
 (5)
 (1)
 (0)
 (52)",58,"0
 (0)
 (0)
 (0)
 (0)",
충남,천안시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","834
 (84)
 (333)
 (0)
 (417)",834,84,333,0,417,"817
 (71)
 (331)
 (0)
 (415)",817,71,331,0,415,17,2,"816
 (71)
 (331)
 (0)
 (414)",816,"18
 (13)
 (2)
 (0)
 (3)","승용전기차 대상자 선정이 마감되었습니다.
※ 차종에 따른 보조금 차이로 인해 지원대수는 예산내에서 변동될 수 있습니다."
충남,공주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","110
 (11)
 (32)
 (0)
 (67)",110,11,32,0,67,"108
 (10)
 (13)
 (0)
 (85)",108,10,13,0,85,2,0,"108
 (10)
 (13)
 (0)
 (85)",108,"2
 (1)
 (19)
 (0)
 (0)","11/29 기준 승용차, 화물차 예산 소진(2021년 추경일정 없음)"
충남,보령시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","81
 (0)
 (0)
 (0)
 (81)",81,0,0,0,81,"79
 (6)
 (7)
 (0)
 (66)",79,6,7,0,66,2,15,"77
 (6)
 (7)
 (0)
 (64)",77,"4
 (0)
 (0)
 (0)
 (17)","※ 전기승용 예산 소진에 따른 사업 종료

모든 제출서류 원본은 보조금 지급 신청 시 제작, 수입사에서 일괄하여 ‘충남 보령시 성주산로 77,(보령시청) 3층 환경보호과’로 방문 또는 우편 제출"
충남,아산시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","290
 (31)
 (104)
 (0)
 (155)",290,31,104,0,155,"323
 (37)
 (113)
 (0)
 (173)",323,37,113,0,173,0,0,"290
 (31)
 (104)
 (0)
 (155)",290,"0
 (0)
 (0)
 (0)
 (0)","승용전기차 대상자 선정이 마감되었습니다.
화물전기차 9.23.기준 잔여물량 3대 남아있습니다."
충남,서산시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","337
 (0)
 (0)
 (0)
 (337)",337,0,0,0,337,"323
 (8)
 (89)
 (0)
 (226)",323,8,89,0,226,14,111,"319
 (8)
 (89)
 (0)
 (222)",319,"18
 (0)
 (0)
 (0)
 (115)","전기승용 : 320대, 초소형 : 17대
2021. 8. 23. 부터 일반물량으로 통합 집행

2021. 10. 5. 전기승용 마감"
충남,논산시,전기승용,"*일반: 접수순
*우선: 접수순","210
 (0)
 (0)
 (0)
 (210)",210,0,0,0,210,"197
 (5)
 (21)
 (0)
 (171)",197,5,21,0,171,13,39,"197
 (5)
 (21)
 (0)
 (171)",197,"13
 (0)
 (0)
 (0)
 (39)",2021.11. 승용 마감
충남,계룡시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","86
 (0)
 (0)
 (0)
 (86)",86,0,0,0,86,"88
 (4)
 (4)
 (0)
 (80)",88,4,4,0,80,0,6,"81
 (4)
 (2)
 (0)
 (75)",81,"5
 (0)
 (0)
 (0)
 (11)",
충남,당진시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","297
 (6)
 (9)
 (0)
 (282)",297,6,9,0,282,"363
 (7)
 (20)
 (0)
 (336)",363,7,20,0,336,0,0,"355
 (6)
 (20)
 (0)
 (329)",355,"0
 (0)
 (0)
 (0)
 (0)",* 전기 승용 마감
충남,금산군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","80
 (8)
 (32)
 (0)
 (40)",80,8,32,0,40,"68
 (2)
 (8)
 (0)
 (58)",68,2,8,0,58,12,0,"68
 (2)
 (8)
 (0)
 (58)",68,"12
 (6)
 (24)
 (0)
 (0)",
충남,부여군,전기승용,"*일반: 접수순(초과시 추첨)
*우선: 접수순(초과시 추첨)","114
 (7)
 (46)
 (0)
 (61)",114,7,46,0,61,"74
 (1)
 (4)
 (0)
 (69)",74,1,4,0,69,40,0,"72
 (1)
 (4)
 (0)
 (67)",72,"42
 (6)
 (42)
 (0)
 (0)",
충남,서천군,전기승용,"*일반: 접수순
*우선: 접수순","50
 (5)
 (20)
 (0)
 (25)",50,5,20,0,25,"43
 (2)
 (5)
 (0)
 (36)",43,2,5,0,36,7,0,"41
 (2)
 (5)
 (0)
 (34)",41,"9
 (3)
 (15)
 (0)
 (0)",==  전기승용차 접수 마감 ==
충남,청양군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","10
 (1)
 (0)
 (0)
 (9)",10,1,0,0,9,"26
 (1)
 (2)
 (0)
 (23)",26,1,2,0,23,0,0,"26
 (1)
 (2)
 (0)
 (23)",26,"0
 (0)
 (0)
 (0)
 (0)",
충남,홍성군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","69
 (0)
 (0)
 (0)
 (69)",69,0,0,0,69,"69
 (0)
 (6)
 (0)
 (63)",69,0,6,0,63,0,6,"69
 (0)
 (6)
 (0)
 (63)",69,"0
 (0)
 (0)
 (0)
 (6)",사업 종료
충남,예산군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","109
 (0)
 (0)
 (0)
 (109)",109,0,0,0,109,"106
 (1)
 (5)
 (0)
 (100)",106,1,5,0,100,3,9,"106
 (1)
 (5)
 (0)
 (100)",106,"3
 (0)
 (0)
 (0)
 (9)",※전기승용 신청 마감
충남,태안군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","43
 (0)
 (0)
 (0)
 (43)",43,0,0,0,43,"43
 (1)
 (3)
 (0)
 (39)",43,1,3,0,39,0,4,"43
 (1)
 (3)
 (0)
 (39)",43,"0
 (0)
 (0)
 (0)
 (4)",
전북,전주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","500
 (55)
 (160)
 (0)
 (285)",500,55,160,0,285,"892
 (98)
 (244)
 (0)
 (550)",892,98,244,0,550,0,0,"519
 (60)
 (141)
 (0)
 (318)",519,"0
 (0)
 (19)
 (0)
 (0)",
전북,군산시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","350
 (31)
 (122)
 (0)
 (197)",350,31,122,0,197,"432
 (16)
 (89)
 (0)
 (327)",432,16,89,0,327,0,0,"376
 (14)
 (86)
 (0)
 (276)",376,"0
 (17)
 (36)
 (0)
 (0)","일반보급, 법인보급 및 우선보급 물량 마감"
전북,익산시,전기승용,"*일반: 지원가능확인요청순
*우선: 지원가능확인요청순","128
 (0)
 (0)
 (0)
 (128)",128,0,0,0,128,"352
 (37)
 (67)
 (0)
 (248)",352,37,67,0,248,0,0,"352
 (37)
 (67)
 (0)
 (248)",352,"0
 (0)
 (0)
 (0)
 (0)",
전북,정읍시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","146
 (11)
 (7)
 (0)
 (128)",146,11,7,0,128,"146
 (11)
 (36)
 (0)
 (99)",146,11,36,0,99,0,29,"146
 (11)
 (36)
 (0)
 (99)",146,"0
 (0)
 (0)
 (0)
 (29)",○ 전기승용차 대상자 선정 완료
전북,남원시,전기승용,"*일반: 출고등록순(보조금 지원가능 확인요청 제출순)
*우선: 출고등록순(보조금 지원가능 확인요청 제출순)","140
 (11)
 (24)
 (0)
 (105)",140,11,24,0,105,"169
 (12)
 (36)
 (0)
 (121)",169,12,36,0,121,0,0,"142
 (11)
 (33)
 (0)
 (98)",142,"0
 (0)
 (0)
 (0)
 (7)",대상자확정 완료
전북,김제시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","90
 (3)
 (12)
 (0)
 (75)",90,3,12,0,75,"103
 (2)
 (11)
 (0)
 (90)",103,2,11,0,90,0,0,"83
 (2)
 (8)
 (0)
 (73)",83,"7
 (1)
 (4)
 (0)
 (2)","예산 소진으로 전기승용 접수 마감.
차종별 보조금 지급 금액이 달라 잔여대수와 상이할 수 있음."
전북,완주군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","58
 (6)
 (10)
 (0)
 (42)",58,6,10,0,42,"62
 (6)
 (10)
 (0)
 (46)",62,6,10,0,46,0,0,"58
 (6)
 (10)
 (0)
 (42)",58,"0
 (0)
 (0)
 (0)
 (0)",
전북,진안군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","36
 (2)
 (9)
 (0)
 (25)",36,2,9,0,25,"54
 (2)
 (2)
 (0)
 (50)",54,2,2,0,50,0,0,"39
 (2)
 (0)
 (0)
 (37)",39,"0
 (0)
 (9)
 (0)
 (0)",
전북,무주군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","40
 (2)
 (3)
 (0)
 (35)",40,2,3,0,35,"45
 (2)
 (4)
 (0)
 (39)",45,2,4,0,39,0,0,"41
 (2)
 (4)
 (0)
 (35)",41,"0
 (0)
 (0)
 (0)
 (0)",
전북,장수군,전기승용,"*일반: 접수순(초과시 추첨)
*우선: 접수순(초과시 추첨)","17
 (2)
 (6)
 (0)
 (9)",17,2,6,0,9,"17
 (1)
 (0)
 (0)
 (16)",17,1,0,0,16,0,0,"17
 (1)
 (0)
 (0)
 (16)",17,"0
 (1)
 (6)
 (0)
 (0)",
전북,임실군,전기승용,"*일반: 접수순(초과시 추첨)
*우선: 접수순(초과시 추첨)","17
 (2)
 (7)
 (0)
 (8)",17,2,7,0,8,"14
 (2)
 (0)
 (0)
 (12)",14,2,0,0,12,3,0,"14
 (2)
 (0)
 (0)
 (12)",14,"3
 (0)
 (7)
 (0)
 (0)",
전북,순창군,전기승용,"*일반: 출고등록순
*우선: 우선순위 물량 없음","4
 (0)
 (0)
 (0)
 (4)",4,0,0,0,4,"18
 (2)
 (0)
 (0)
 (16)",18,2,0,0,16,0,0,"13
 (2)
 (0)
 (0)
 (11)",13,"0
 (0)
 (0)
 (0)
 (0)",
전북,고창군,전기승용,"*일반: 접수순(초과시 추첨)
*우선: 추첨","67
 (0)
 (0)
 (0)
 (67)",67,0,0,0,67,"81
 (4)
 (6)
 (0)
 (71)",81,4,6,0,71,0,0,"44
 (4)
 (0)
 (0)
 (40)",44,"23
 (0)
 (0)
 (0)
 (27)",
전북,부안군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","30
 (3)
 (12)
 (0)
 (15)",30,3,12,0,15,"31
 (3)
 (8)
 (0)
 (20)",31,3,8,0,20,0,0,"28
 (3)
 (8)
 (0)
 (17)",28,"2
 (0)
 (4)
 (0)
 (0)",
전남,목포시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","100
 (10)
 (40)
 (0)
 (50)",100,10,40,0,50,"101
 (10)
 (36)
 (0)
 (55)",101,10,36,0,55,0,0,"101
 (10)
 (36)
 (0)
 (55)",101,"0
 (0)
 (4)
 (0)
 (0)","일반보급, 법인보급 및 우선보급 물량 접수마감"
전남,여수시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","220
 (0)
 (0)
 (0)
 (220)",220,0,0,0,220,"238
 (6)
 (32)
 (0)
 (200)",238,6,32,0,200,0,20,"238
 (6)
 (32)
 (0)
 (200)",238,"0
 (0)
 (0)
 (0)
 (20)",
전남,순천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","234
 (22)
 (48)
 (0)
 (164)",234,22,48,0,164,"235
 (22)
 (48)
 (0)
 (165)",235,22,48,0,165,0,0,"235
 (22)
 (48)
 (0)
 (165)",235,"0
 (0)
 (0)
 (0)
 (0)",예산 소진에 따라 2021년도 보급사업은 마감되었습니다.
전남,나주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","175
 (18)
 (30)
 (0)
 (127)",175,18,30,0,127,"186
 (18)
 (21)
 (0)
 (147)",186,18,21,0,147,0,0,"186
 (18)
 (21)
 (0)
 (147)",186,"0
 (0)
 (9)
 (0)
 (0)","2021년도 전기자동차 보급사업 일반 우선순위 모두 마감되었습니다.
올해 사업은 더이상 없습니다. (추경X)"
전남,광양시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","158
 (16)
 (64)
 (0)
 (78)",158,16,64,0,78,"161
 (12)
 (45)
 (0)
 (104)",161,12,45,0,104,0,0,"161
 (12)
 (45)
 (0)
 (104)",161,"0
 (4)
 (19)
 (0)
 (0)",승용차 대상자 확정 마감되었음
전남,담양군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","0
 (0)
 (0)
 (0)
 (0)",0,0,0,0,0,"71
 (1)
 (7)
 (0)
 (63)",71,1,7,0,63,0,0,"71
 (1)
 (7)
 (0)
 (63)",71,"0
 (0)
 (0)
 (0)
 (0)",전기 승용 및 화물 접수 마감
전남,곡성군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","40
 (3)
 (0)
 (0)
 (37)",40,3,0,0,37,"38
 (1)
 (0)
 (0)
 (37)",38,1,0,0,37,2,0,"37
 (1)
 (0)
 (0)
 (36)",37,"3
 (2)
 (0)
 (0)
 (1)",
전남,구례군,전기승용,"*일반: 추첨
*우선: 추첨","6
 (0)
 (0)
 (0)
 (6)",6,0,0,0,6,"14
 (1)
 (0)
 (0)
 (13)",14,1,0,0,13,0,0,"14
 (1)
 (0)
 (0)
 (13)",14,"0
 (0)
 (0)
 (0)
 (0)",
전남,고흥군,,,,,,,,,,,,,,,,,,,,
전남,보성군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","29
 (3)
 (12)
 (0)
 (14)",29,3,12,0,14,"39
 (0)
 (2)
 (0)
 (37)",39,0,2,0,37,0,0,"34
 (0)
 (2)
 (0)
 (32)",34,"0
 (3)
 (10)
 (0)
 (0)",
전남,화순군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","39
 (4)
 (16)
 (0)
 (19)",39,4,16,0,19,"37
 (1)
 (3)
 (0)
 (33)",37,1,3,0,33,2,0,"37
 (1)
 (3)
 (0)
 (33)",37,"2
 (3)
 (13)
 (0)
 (0)","예산 소진으로 인해 전기자동차(승용) 접수가 마감되었습니다.

- 차종별 보조금 지급 금액이 다르기에 시스템상 잔여대수와 상이할 수 있습니다. -"
전남,장흥군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","35
 (0)
 (0)
 (0)
 (35)",35,0,0,0,35,"38
 (4)
 (1)
 (0)
 (33)",38,4,1,0,33,0,2,"38
 (4)
 (1)
 (0)
 (33)",38,"0
 (0)
 (0)
 (0)
 (2)",
전남,강진군,전기승용,"*일반: 접수순(초과시 추첨)
*우선: 출고등록순","25
 (2)
 (2)
 (0)
 (21)",25,2,2,0,21,"25
 (1)
 (1)
 (0)
 (23)",25,1,1,0,23,0,0,"24
 (1)
 (1)
 (0)
 (22)",24,"1
 (1)
 (1)
 (0)
 (0)",
전남,해남군,전기승용,"*일반: 출고등록순
*우선: 접수순","30
 (3)
 (10)
 (0)
 (17)",30,3,10,0,17,"31
 (2)
 (3)
 (0)
 (26)",31,2,3,0,26,0,0,"28
 (2)
 (2)
 (0)
 (24)",28,"2
 (1)
 (8)
 (0)
 (0)",
전남,영암군,전기승용,"*일반: 접수순
*우선: 접수순","99
 (10)
 (40)
 (0)
 (49)",99,10,40,0,49,"100
 (4)
 (13)
 (0)
 (83)",100,4,13,0,83,0,0,"100
 (4)
 (13)
 (0)
 (83)",100,"0
 (6)
 (27)
 (0)
 (0)",
전남,무안군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","65
 (7)
 (0)
 (0)
 (58)",65,7,0,0,58,"80
 (7)
 (4)
 (0)
 (69)",80,7,4,0,69,0,0,"70
 (6)
 (4)
 (0)
 (60)",70,"0
 (1)
 (0)
 (0)
 (0)",전기승용차 지원 접수 마감되었습니다.
전남,함평군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","42
 (5)
 (0)
 (0)
 (37)",42,5,0,0,37,"55
 (1)
 (8)
 (0)
 (46)",55,1,8,0,46,0,0,"55
 (1)
 (8)
 (0)
 (46)",55,"0
 (4)
 (0)
 (0)
 (0)",
전남,영광군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","115
 (18)
 (0)
 (0)
 (97)",115,18,0,0,97,"118
 (15)
 (32)
 (0)
 (71)",118,15,32,0,71,0,26,"118
 (15)
 (32)
 (0)
 (71)",118,"0
 (3)
 (0)
 (0)
 (26)","승용(일반승용) 소진되었습니다., 승용 (초소형)은  접수가능합니다."
전남,장성군,전기승용,"*일반: 추첨
*우선: 추첨","30
 (3)
 (12)
 (0)
 (15)",30,3,12,0,15,"37
 (4)
 (5)
 (0)
 (28)",37,4,5,0,28,0,0,"32
 (4)
 (5)
 (0)
 (23)",32,"0
 (0)
 (7)
 (0)
 (0)",예산소진으로 마감되었습니다.
전남,완도군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","19
 (2)
 (8)
 (0)
 (9)",19,2,8,0,9,"18
 (0)
 (7)
 (0)
 (11)",18,0,7,0,11,1,0,"18
 (0)
 (7)
 (0)
 (11)",18,"1
 (2)
 (1)
 (0)
 (0)",
전남,진도군,전기승용,"*일반: 출고등록순
*우선: 보조금 지원가능 확인요청서 등록순","10
 (1)
 (4)
 (0)
 (5)",10,1,4,0,5,"13
 (1)
 (1)
 (0)
 (11)",13,1,1,0,11,0,0,"10
 (1)
 (1)
 (0)
 (8)",10,"0
 (0)
 (3)
 (0)
 (0)","1. 접수기간: 2021. 9. 1.(수) 10:00 ~ 예산 소진 시 까지
2. 보급대수
    - 전기승용차: 일반 3대
    - 전기화물차: 일반 10대, 우선순위 2대
    보급물량은 예산 범위 내에서 변동될 수 있음
3. 선정방법: 출고등록순
4. 기타 자세한 내용은 공고문 참조"
전남,신안군,전기승용,"*일반: 접수순
*우선: -","760
 (0)
 (704)
 (0)
 (56)",760,0,704,0,56,"746
 (0)
 (740)
 (0)
 (6)",746,0,740,0,6,14,50,"743
 (0)
 (737)
 (0)
 (6)",743,"17
 (0)
 (0)
 (0)
 (50)",
경북,포항시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","340
 (0)
 (0)
 (0)
 (340)",340,0,0,0,340,"334
 (39)
 (89)
 (0)
 (206)",334,39,89,0,206,6,134,"334
 (39)
 (89)
 (0)
 (206)",334,"6
 (0)
 (0)
 (0)
 (134)",★ 포항시 전기자동차 민간보급 사업 종료 ★
경북,경주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","216
 (19)
 (76)
 (0)
 (121)",216,19,76,0,121,"267
 (20)
 (47)
 (0)
 (200)",267,20,47,0,200,0,0,"201
 (19)
 (39)
 (0)
 (143)",201,"15
 (0)
 (37)
 (0)
 (0)",
경북,김천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","112
 (10)
 (40)
 (0)
 (62)",112,10,40,0,62,"101
 (2)
 (41)
 (0)
 (58)",101,2,41,0,58,11,4,"101
 (2)
 (41)
 (0)
 (58)",101,"11
 (8)
 (0)
 (0)
 (4)",마감
경북,안동시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","190
 (0)
 (0)
 (0)
 (190)",190,0,0,0,190,"182
 (3)
 (28)
 (0)
 (151)",182,3,28,0,151,8,39,"175
 (3)
 (27)
 (0)
 (145)",175,"15
 (0)
 (0)
 (0)
 (45)",
경북,구미시,전기승용,"*일반: 접수순
*우선: 접수순","175
 (18)
 (36)
 (0)
 (121)",175,18,36,0,121,"181
 (19)
 (31)
 (0)
 (131)",181,19,31,0,131,0,0,"181
 (19)
 (31)
 (0)
 (131)",181,"0
 (0)
 (5)
 (0)
 (0)","* 대상자 선정 후 3개월 이내 출고 되지 않을 경우 대상자 선정취소
* 2021. 07. 01부터 일반, 법인 물량 통합
* 2021. 10. 01부터 일반, 법인, 우선순위 물량 통합
* 2021. 10. 01부터 접수 마감(목표대수 초과에 따름)"
경북,영주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","80
 (0)
 (0)
 (0)
 (80)",80,0,0,0,80,"97
 (0)
 (17)
 (0)
 (80)",97,0,17,0,80,0,0,"82
 (0)
 (17)
 (0)
 (65)",82,"0
 (0)
 (0)
 (0)
 (15)","- 12.15(수)까지 신청 가능합니다.
※ 예산, 물량 소진시 조기 신청 마감합니다.

+ 12.13(월) 기준 전기승용 잔여대수 출고 완료되어 신청 마감합니다.
+ 12.15(수) 기준 2021년 전기자동차 보급사업 신청 마감되었습니다."
경북,영천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","84
 (10)
 (37)
 (0)
 (37)",84,10,37,0,37,"95
 (3)
 (16)
 (0)
 (76)",95,3,16,0,76,0,0,"84
 (2)
 (15)
 (0)
 (67)",84,"0
 (8)
 (22)
 (0)
 (0)",
경북,상주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","92
 (9)
 (37)
 (0)
 (46)",92,9,37,0,46,"81
 (4)
 (5)
 (0)
 (72)",81,4,5,0,72,11,0,"81
 (4)
 (5)
 (0)
 (72)",81,"11
 (5)
 (32)
 (0)
 (0)",- 전기승용 신청 마감-
경북,문경시,전기승용,"*일반: 접수순(초과시 추첨)
*우선: 접수순","86
 (0)
 (0)
 (0)
 (86)",86,0,0,0,86,"79
 (1)
 (32)
 (0)
 (46)",79,1,32,0,46,7,40,"79
 (1)
 (32)
 (0)
 (46)",79,"7
 (0)
 (0)
 (0)
 (40)",승용마감.
경북,경산시,전기승용,"*일반: 출고등록순
*우선: -","235
 (0)
 (0)
 (0)
 (235)",235,0,0,0,235,"212
 (18)
 (19)
 (0)
 (175)",212,18,19,0,175,23,60,"212
 (18)
 (19)
 (0)
 (175)",212,"23
 (0)
 (0)
 (0)
 (60)",신청마감
경북,군위군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","33
 (2)
 (6)
 (0)
 (25)",33,2,6,0,25,"30
 (4)
 (2)
 (0)
 (24)",30,4,2,0,24,3,1,"30
 (4)
 (2)
 (0)
 (24)",30,"3
 (0)
 (4)
 (0)
 (1)","ㅇ 보급대수
   - 승용 : 32대 (본예산 14, 추경예산 18)
ㅇ 신청대상
   - 구매지원신청서 접수일 기준 연속하여 3개월 이상 군위군에 주소지를 둔 만 18세 이상

ㅇ 신청기간 
   - 2021. 2. 17. ∼ 예산 소진 시까지 

ㅇ 선정대상 
   - 차량 출고·등록순"
경북,의성군,전기승용,"*일반: 접수순
*우선: 접수순","35
 (4)
 (14)
 (0)
 (17)",35,4,14,0,17,"35
 (0)
 (4)
 (0)
 (31)",35,0,4,0,31,0,0,"30
 (0)
 (4)
 (0)
 (26)",30,"5
 (4)
 (10)
 (0)
 (0)","- 사업물량
  * 승용 35대(일반 17, 법인·기관 14, 우선순위 4)
  * 화물 55대(일반 43, 중소기업 6, 우선순위 6)
- 지원대상 : 신청일 기준 의성군에 2개월 이상 주소를 둔 자
- 선정기준 : 전기자동차 구매보조 지원시스템 접수순
   ※ 2021.9.1.기준 예산범위내 전기승용 접수 완료, 전기승용 접수시 예비순번으로 대기자 부여함"
