총괄현황(전기차),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
시도,지역구분,차종,접수방법,민간공고대수,,,,,,접수대수,,,,,,접수 잔여대수,,출고대수,,출고잔여대수,비고
경기,안성시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","250
 (21)
 (0)
 (15)
 (214)",250,21,0,15,214,"199
 (10)
 (26)
 (10)
 (153)",199,10,26,10,153,51,61,"198
 (10)
 (26)
 (10)
 (152)",198,"52
 (11)
 (0)
 (5)
 (62)","----------------------------------------------------------------
★★ 전기승용 전체물량 소진되었습니다.(10.12일)
----------------------------------------------------------------

★전기자동차 보급사업 공고(3차)

1. 신청기간 : 2023.10.4.(수) 오전 9시 ~ 예산 소진 시 까지
2. 보급대수 : 승용 42대(차종별 보조금 상이하므로 보급대수는 변경될 수 있음)
3. 선정방법 : 출고등록순"
경기,김포시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","888
 (0)
 (0)
 (0)
 (888)",888,0,0,0,888,"891
 (12)
 (0)
 (38)
 (841)",891,12,0,38,841,0,47,"873
 (12)
 (0)
 (38)
 (823)",873,"15
 (0)
 (0)
 (0)
 (65)","★승용·화물 전체 마감
※ 취소물량 발생 시 지원가능확인요청순으로 대상자선정"
경기,화성시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1732
 (150)
 (117)
 (230)
 (1235)",1732,150,117,230,1235,"1575
 (155)
 (116)
 (91)
 (1213)",1575,155,116,91,1213,157,22,"1575
 (155)
 (116)
 (91)
 (1213)",1575,"157
 (0)
 (1)
 (139)
 (22)","★ 전기 승용차 마감★
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
※ 택시 미집행 물량 일반으로 전환 완료('23. 12.18.)
※ 취소물량 발생에 따라 지원가능확인요청순으로 대상자선정 예정
※ 차종별로 보조금액이 상이하기 때문에 무공해차 통합누리집에 집계된 잔여대수와 실제 보급가능대수 상이
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
★ 11. 22.(수) 15시부터 접수 시작★ 
   ※ 접수시간이 변경된 점 양해부탁드립니다. 


★ 2023년도 전기자동차(승용) 보급사업 공고문(하반기)★

★ 접수기간 : `23. 11. 22. (수) 15:00 ∼ ‘23. 12. 15.(금)
   ※ 차종별 보조금액 상이로 인해 예산 범위 내에서 보급물량 변동 있음.
 ㅇ 전기승용차 보급대수 : 총 230대 (일반 200대, 택시 30대)
   ※ 2023. 12. 22.(금)까지 차량 출고 ？ 등록 및 보조금 지급신청이 가능한 자에 한해 보조금 지원 
   ※ 예산 소진시 조기 마감  
 ㅇ 선정기준 : 출고등록순
 ㅇ 보급대수 제한 : 개인·개인사업자 1대, 법인·기관 1대
  * 전기자동차(승용) 법인 2대 이상 한국환경공단 문의
통합 문의 : 1577-4200 / 031-5189-7459
승용 문의 : 031-5189-7459/6726

※ 기타 자세한 문의사항은 공고문을 참조하시기 바라며, 신속한 업무처리를 위해 전화 문의는 자제 부탁드립니다.
※ 서류미비로 보완이 될 경우 후순위로 밀리는 점 인지 부탁드립니다."
경기,광주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","0
 (0)
 (0)
 (0)
 (0)",0,0,0,0,0,"451
 (18)
 (25)
 (12)
 (396)",451,18,25,12,396,0,0,"429
 (16)
 (25)
 (12)
 (376)",429,"0
 (0)
 (0)
 (0)
 (0)","★전기승용차 전체마감 잔여대수:0대★
*전기자동차(승용) 하반기 구매지원사업 공고*
○ 보급기간 : 2023. 7. 17.(월) 10시 ~ 2023. 12. 8.(금)까지 하되 예산 소진 시 까지
○ 보급대수 : 전기승용차339대(예산 범위 내에서 변동가능)
○ 신청 대상 : 구매신청서 접수일 기준으로 광주시에 주소를 둔지 3개월이 경과된 개인 및 광주시 소재지(3개월 경과) 법인, 공공기관 
○ 보조금 지원대상자 선정 통보 : 출고 등록순
※ 전기자동차(승용) 상반기 접수기간 2023. 6. 30.(금)까지 신청 및 보조금 지급 가능
※ 세부사항은 공고문 참조"
경기,양주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","336
 (19)
 (25)
 (32)
 (260)",336,19,25,32,260,"436
 (22)
 (29)
 (32)
 (353)",436,22,29,32,353,0,0,"395
 (19)
 (26)
 (32)
 (318)",395,"0
 (0)
 (0)
 (0)
 (0)","2023년 양주시 전기자동차(승용,화물) 보조금 지급 계획
 ○ 사업기간 : 2023. 2. 17. ~ 2023. 12. 15.(예산 소진 시 조기마감)
 ○ 보급대수 : 전기승용·초소형 약 336대, 전기화물 약 180대
 ※전기승용차 : 10월 31일 16시 40분 기준 잔여물량입니다.
   - 통합물량 : 마감
   - 대상자로 선정되신 분 중 포기자 발생 시 지원가능요청 순서대로 처리됩니다."
경기,포천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","205
 (11)
 (54)
 (33)
 (107)",205,11,54,33,107,"168
 (5)
 (34)
 (24)
 (105)",168,5,34,24,105,37,2,"164
 (5)
 (34)
 (24)
 (101)",164,"41
 (6)
 (20)
 (9)
 (6)","★승용, 화물 마감★"
경기,여주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","202
 (25)
 (0)
 (25)
 (152)",202,25,0,25,152,"173
 (5)
 (10)
 (15)
 (143)",173,5,10,15,143,29,9,"173
 (5)
 (10)
 (15)
 (143)",173,"29
 (20)
 (0)
 (10)
 (9)",
경기,연천군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","73
 (5)
 (14)
 (5)
 (49)",73,5,14,5,49,"64
 (2)
 (4)
 (4)
 (54)",64,2,4,4,54,9,0,"63
 (2)
 (4)
 (4)
 (53)",63,"10
 (3)
 (10)
 (1)
 (0)",
경기,가평군,전기승용,"*일반: 접수순
*우선: 접수순","152
 (16)
 (0)
 (0)
 (136)",152,16,0,0,136,"77
 (3)
 (3)
 (1)
 (70)",77,3,3,1,70,75,66,"77
 (3)
 (3)
 (1)
 (70)",77,"75
 (13)
 (0)
 (0)
 (66)","2차공고(2023.5.22.)
 - 전기승용 108대(일반 86대, 택시 11대, 우선지원대상 11대)"
경기,양평군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","207
 (18)
 (9)
 (33)
 (147)",207,18,9,33,147,"207
 (18)
 (9)
 (33)
 (147)",207,18,9,33,147,0,0,"207
 (18)
 (9)
 (33)
 (147)",207,"0
 (0)
 (0)
 (0)
 (0)","2023년도 전기자동차 보급사업(승용 물량 추가)
○ 접수기간: 2023. 10. 23.(월) ~ 예산 소진 시까지 
○ 보급대수: 전기승용·초소형(70대)
○ 지원금액: 무공해차 구매보조금 지원시스템(https://www.ev.or.kr/ps) 참조
○ 접수방법: 제조·판매사가 무공해차 구매보조금 지원시스템(https://www.ev.or.kr/ps) 접수
○ 선정기준: 출고·등록순"
강원,춘천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","763
 (77)
 (0)
 (115)
 (571)",763,77,0,115,571,"591
 (10)
 (14)
 (111)
 (456)",591,10,14,111,456,172,115,"591
 (10)
 (14)
 (111)
 (456)",591,"172
 (67)
 (0)
 (4)
 (115)",사업기간 : 2023. 12. 15.까지(지원가능요청분까지)(예산소진시에는 조기종료)
강원,원주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","983
 (98)
 (0)
 (150)
 (735)",983,98,0,150,735,"747
 (11)
 (25)
 (183)
 (528)",747,11,25,183,528,236,207,"737
 (11)
 (25)
 (183)
 (518)",737,"246
 (87)
 (0)
 (0)
 (217)","2023년 원주시 전기자동차 2차 공고
-접수기간: 2023. 7. 3.(월) 공고 후 ~ 2023. 12. 15.(금) (예산 소진 시 조기 마감)
-대상자 선정방식: 출고등록순(지원가능확인 요청 순서대로 대상자를 선정하며, 자격부여는 대상자 선정이 아님을 알려드립니다.)
-보조금 청구 시, 접수 및 청구 서류 일체 '강원틀별자치도 원주시 시청로 1, 원주시청 6층 기후에너지과' 로 송부"
강원,강릉시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","539
 (54)
 (0)
 (81)
 (404)",539,54,0,81,404,"285
 (6)
 (10)
 (42)
 (227)",285,6,10,42,227,254,177,"285
 (6)
 (10)
 (42)
 (227)",285,"254
 (48)
 (0)
 (39)
 (177)","※ 2023년 하반기 전기자동차 보급사업 공고 ※
* 신청기간:  하반기 공고일 ~ 2023. 12. 15. 18:00 (예산 소진 시 조기 마감)
 ★ 회계연도 마감에 따라 2023. 12. 15.까지 지급청구 완료된 건만 보조금 지급 가능
* 지원자격: 신청접수일 기준 90일전부터 강릉시에 주소를 둔 자
* 대상자선정 기준: 출고등록순 
* 보급대수: 승용 539대"
강원,동해시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","87
 (8)
 (0)
 (17)
 (62)",87,8,0,17,62,"102
 (2)
 (3)
 (19)
 (78)",102,2,3,19,78,0,0,"102
 (2)
 (3)
 (19)
 (78)",102,"0
 (6)
 (0)
 (0)
 (0)","1. 사업개요

   공고기간 : 2023. 9. 27(수). ~ 2023. 11. 30(목)
   접수기간 : 2023. 10. 04(수). ~ 2023. 11. 30(목) ※ 예산소진시 사업종료
   
     
    전기승용 30대(일반 30)"
강원,태백시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","160
 (0)
 (0)
 (0)
 (160)",160,0,0,0,160,"42
 (0)
 (3)
 (6)
 (33)",42,0,3,6,33,118,127,"41
 (0)
 (3)
 (6)
 (32)",41,"119
 (0)
 (0)
 (0)
 (128)",
강원,속초시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","177
 (0)
 (0)
 (0)
 (177)",177,0,0,0,177,"129
 (0)
 (2)
 (42)
 (85)",129,0,2,42,85,48,92,"129
 (0)
 (2)
 (42)
 (85)",129,"48
 (0)
 (0)
 (0)
 (92)","1. 사업물량 : 총 298대(승용 177, 소형화물 109, 경형화물 3, 승합 9)
2. 지원금액 : 공고문 및 붙임 참조
3. 지원자격 : 신청접수일 기준 90일전부터 속초시에 주소를 둔 자
4. 선정방법 : 차량 출고 및 등록순
5. 주의사항 : 차량 출고 전 잔여물량 반드시 확인, 의무운행기간 준수
6. 기타사항 : 속초시청 친환경정책과(☏033-639-2743) 문의
★ 승용 물량 마감 / 신청 전 전화하여 잔여 보조금 지급 가능여부 확인 ★"
강원,삼척시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","110
 (12)
 (0)
 (12)
 (86)",110,12,0,12,86,"71
 (2)
 (4)
 (4)
 (61)",71,2,4,4,61,39,25,"71
 (2)
 (4)
 (4)
 (61)",71,"39
 (10)
 (0)
 (8)
 (25)",
강원,홍천군,전기승용,"*일반: 접수순
*우선: 접수순","72
 (10)
 (0)
 (10)
 (52)",72,10,0,10,52,"73
 (2)
 (5)
 (0)
 (66)",73,2,5,0,66,0,0,"73
 (2)
 (5)
 (0)
 (66)",73,"0
 (8)
 (0)
 (10)
 (0)",
강원,횡성군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","69
 (0)
 (0)
 (0)
 (69)",69,0,0,0,69,"66
 (1)
 (5)
 (8)
 (52)",66,1,5,8,52,3,17,"61
 (1)
 (5)
 (7)
 (48)",61,"8
 (0)
 (0)
 (0)
 (21)","□ 사업개요
  ○ 신청기간 : 2023. 9. 6.(수) ~ 12. 15.(금)
  ○ 보급대수 : 135대  ※ 물량조정(화물(소형) 6대 증, 화물(경형) 8대 감)
    - 승용 : 70대(일반 63, 우선순위 7)
    - 화물(소형) : 56대 (일반 36, 운송사업 물량 10, 중소기업 생산물량 5, 우선순위 5)
    - 화물(경형) : 7대 (일반 4, 운송사업 물량 2, 중소기업 생산물량 1, 우선순위 1)
    - 승합 : 1대
    ※ 사업 진행상황에 따라 변동될 수 있음
    ※ 해당 사업 잔여물량 소진시까지 진행(조기 소진 시 마감)
    ※ 택시 물량 중 미집행 물량은 변경(1차) 공고 이후 일반 물량과 통합하여 집행
    ※ 운송사업, 중소기업, 우선순위 중 미집행 물량은 2023. 10. 1.부터 일반 물량과 통합하여 집행
  ○ 사업내용 : 환경부 인증을 받은 전기자동차 구입 보조금 지원
  ○ 지원차종 : 붙임1 참고
    ※ 향후 추가되는 차량은 저공해차 통합누리집(www.ev.or.kr)에 게재
  ○ 선정방법 : 출고등록순(저공해차 구매보조금 지원시스템 &quot;지원가능확인&quot; 요청 순)"
강원,영월군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","54
 (8)
 (0)
 (8)
 (38)",54,8,0,8,38,"46
 (2)
 (2)
 (5)
 (37)",46,2,2,5,37,8,1,"44
 (2)
 (2)
 (5)
 (35)",44,"10
 (6)
 (0)
 (3)
 (3)",
강원,평창군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","85
 (9)
 (0)
 (9)
 (67)",85,9,0,9,67,"54
 (1)
 (2)
 (0)
 (51)",54,1,2,0,51,31,16,"54
 (1)
 (2)
 (0)
 (51)",54,"31
 (8)
 (0)
 (9)
 (16)","○ 2023년 전기자동차 보급사업 2차 공고

1. 신청기간 : 2023. 7. 31.(월) 09:00 ~ 2023. 12. 13.(수)(예산 소진 시 조기 마감)
  ◇ 무공해차 구매보조금 지원시스템에 명시된 기간과 상관없이 신청기간 내에 대상자 선정이 완료되어야 함.

2. 보급수량 : 승용 58대, 소형화물 22대, 경형·초소형화물 13대

3. 신청방법
  ◇전기자동차 제작ㆍ수입사를 통한 온라인 접수
    가. 신청인 : 희망하는 전기자동차 제작ㆍ수입사와 구매계약 체결
    나. 제작ㆍ수입사 : 무공해차 구매보조금 지원시스템을 통한 구매 지원 신청서류 제출

4. 선정방법 : 출고ㆍ등록순
  ◇ &apos;지원확정&apos;(대상자 선정) 단계가 아닌 &apos;자격부여&apos;단계에 출고할 경우 보조금 지급 불가
  ◇ 보조금 지원대상자로 결정된 날로부터 10일 이내에 차량 출고되지 않을 경우 대상자 선정이 취소되거나 대기자로 변경될 수 있음."
강원,정선군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","64
 (7)
 (0)
 (7)
 (50)",64,7,0,7,50,"43
 (0)
 (2)
 (1)
 (40)",43,0,2,1,40,21,10,"43
 (0)
 (2)
 (1)
 (40)",43,"21
 (7)
 (0)
 (6)
 (10)",
강원,철원군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","107
 (10)
 (0)
 (10)
 (87)",107,10,0,10,87,"30
 (0)
 (1)
 (2)
 (27)",30,0,1,2,27,77,60,"30
 (0)
 (1)
 (2)
 (27)",30,"77
 (10)
 (0)
 (8)
 (60)","- 보급대수
   ▷상반기 : 약 54대(일반 44대, 우선순위 5대, 택시 5대) 
   ▷하반기 : 약 53대(일반 43대, 우선순위 5대, 택시 5대) 
- 접수기간 : 2023. 2. 16.(목) 10:00 ∼ 예산소진 시까지
- 지원대상 : 개인, 법인, 공공기관, 지방자치단체, 지방공기업 등이 전기자동차 보조금                   지원 대상 자동차를 신규로 구매하여 철원군에 신규 등록할 경우 
- 보급차량 : 보조금 지원 차량은 환경부 무공해차 통합누리집(ev.or.kr)에서 열람 
- 접수방법 : 무공해자동차 구매보조금 지원시스템(ev.or.kr/ps) 상 온라인 접수 
- 선정방법 : 차량 출고·등록 순"
강원,화천군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","61
 (0)
 (0)
 (0)
 (61)",61,0,0,0,61,"27
 (0)
 (2)
 (5)
 (20)",27,0,2,5,20,34,41,"27
 (0)
 (2)
 (5)
 (20)",27,"34
 (0)
 (0)
 (0)
 (41)","1. 신청기간 : 2023.07.17. 09:00 ~ 12.08. 18:00(보조금 소진 시 사업종료)
2. 보급대수 : 승용 47대
3. 선정방법 : 출고등록순
4. 보급차종 : 무공해차 통합누리집(ev.or.kr)에서 확인가능
5. 신청방법 : 전기차 제조ㆍ판매사(영업점)를 통한 전산시스템(www.ev.or.kr/ps) 제출
 ※ 지급신청시 관련서류 일체 원본 제출"
강원,양구군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","81
 (7)
 (0)
 (7)
 (67)",81,7,0,7,67,"36
 (0)
 (5)
 (7)
 (24)",36,0,5,7,24,45,43,"35
 (0)
 (5)
 (7)
 (23)",35,"46
 (7)
 (0)
 (0)
 (44)",
강원,인제군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","132
 (7)
 (0)
 (0)
 (125)",132,7,0,0,125,"51
 (0)
 (4)
 (4)
 (43)",51,0,4,4,43,81,82,"49
 (0)
 (4)
 (4)
 (41)",49,"83
 (7)
 (0)
 (0)
 (84)","하반기 보급물량: 55대(일반 48, 우선순위 7)"
강원,고성군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","30
 (8)
 (0)
 (8)
 (14)",30,8,0,8,14,"23
 (1)
 (1)
 (3)
 (18)",23,1,1,3,18,7,0,"23
 (1)
 (1)
 (3)
 (18)",23,"7
 (7)
 (0)
 (5)
 (0)",
강원,양양군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","42
 (4)
 (0)
 (4)
 (34)",42,4,0,4,34,"38
 (1)
 (1)
 (7)
 (29)",38,1,1,7,29,4,5,"38
 (1)
 (1)
 (7)
 (29)",38,"4
 (3)
 (0)
 (0)
 (5)",
충북,청주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","2200
 (220)
 (0)
 (440)
 (1540)",2200,220,0,440,1540,"1931
 (121)
 (91)
 (318)
 (1401)",1931,121,91,318,1401,269,139,"1809
 (103)
 (87)
 (316)
 (1303)",1809,"391
 (117)
 (0)
 (124)
 (237)","- 2023 청주시 전기자동차 구매지원사업 마감 -
------------------------------------------------------------------------------------
* ('23.5.1. 시행) 전기화물차를 최초등록일로부터 1년 이내 & 1만km 미만 
   주행 후 판매(관내이전 포함) 시 보조금(국비+지방비) 환수
------------------------------------------------------------------------------------
○ 원본서류 미제출(전산등록 시 모든 서류를 1개의 PDF파일로 합쳐서 첨부)
○ 자격부여 및 대상자 선정 후 문자통보하지 않으므로 시스템 직접 확인 요망
○ 민원전화 폭주로 업무처리가 지연되므로 전화문의는 자제해 주시기 바랍니다."
충북,충주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","390
 (39)
 (0)
 (39)
 (312)",390,39,0,39,312,"385
 (4)
 (16)
 (56)
 (309)",385,4,16,56,309,5,3,"385
 (4)
 (16)
 (56)
 (309)",385,"5
 (35)
 (0)
 (0)
 (3)","<<전기승용 추가 선정 :  승용 마감(12.7일 기준) >>
  -  추가 선정 마감되었습니다.
---------------------------------------------------------------------------

< 2023년 하반기 전기자동차 구매지원 사업 공고 >

 * 신청기간 : 8월 1일 ~ 예산소진시 마감

 * 보급대수 : 전체265대
     - 승용 180대(일반 144/택시18/우선18),  
     - 화물 80대(일반48/택배16/우선순위8/중소기업생산8), 
     - 승합 5대(일반)

 * 실보급대수는 보급여건 및 예산범위내에서 변동될수 있음
---------------------------------------------------------------------------------------------------
 * 주의 : 원본서류일체 등기발송요함(충북 충주시 으뜸로 21, 충주시청 기후에너지과 대기관리팀 전기차담당)
 
 * 기타 자세한 내용은 공고문 참고

 * 민원전화 폭주로 업무처리가 지연되므로 전화문의는 자제하여 주시기 바랍니다.

 * 접수순번 대로 자격부여 하니, 전화독촉은 지양해 주시기 바랍니다."
충북,제천시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","349
 (35)
 (0)
 (70)
 (244)",349,35,0,70,244,"324
 (6)
 (5)
 (40)
 (273)",324,6,5,40,273,25,0,"324
 (6)
 (5)
 (40)
 (273)",324,"25
 (29)
 (0)
 (30)
 (0)","2023년 전기자동차 보급사업

2차공고
신청기한 : 2023. 6. 26.(월) ~ 2023. 12. 20(수) *예산소진시 마감
    ※ 2023. 12. 20.(수)까지 출고·등록 후 지급신청서류 원본제출 하여햐 함
    ※ 자격부여 수가 예산 초과 시 당일출고가능 차량만 대상자 선정 가능(현재 미초과)
보급대수 : 승용 150대(일반105/택시30/우선15), 화물 100대(일반60/택배20/우선10/중소10) 
  - 1차공고 잔여 대수 변경 승합 16대 → 6대로 변경
  - 1차공고 잔여 대수 계속 보급 

※ 공고대수와 출고대수는 잔여예산에 따라 다룰 수 있음
※ 2023. 5. 1. 전기차 지침 개정으로 화물차 중고거새 시 보조금 환수 있음(1년미만 및 300km미만 시)
※ 전기자동차 조금 지원신청서 및 지급신청서, 첨부서류 전체 원본 우편발송(제천시 내토로 294 4층 자연화경과)"
충북,보은군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","112
 (12)
 (12)
 (12)
 (76)",112,12,12,12,76,"52
 (0)
 (2)
 (3)
 (47)",52,0,2,3,47,60,29,"52
 (0)
 (2)
 (3)
 (47)",52,"60
 (12)
 (10)
 (9)
 (29)",
충북,옥천군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","100
 (10)
 (0)
 (10)
 (80)",100,10,0,10,80,"96
 (5)
 (10)
 (2)
 (79)",96,5,10,2,79,4,1,"96
 (5)
 (10)
 (2)
 (79)",96,"4
 (5)
 (0)
 (8)
 (1)",*금년도 신청접수 마감합니다.
충북,영동군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","150
 (15)
 (0)
 (15)
 (120)",150,15,0,15,120,"100
 (0)
 (6)
 (8)
 (86)",100,0,6,8,86,50,34,"98
 (0)
 (6)
 (8)
 (84)",98,"52
 (15)
 (0)
 (7)
 (36)","○ 접수기간 : 2023. 7. ~ 12. 10.
○ 추가보급대수 : 전기승용 100대, 전기화물 125대

◆ 남은 대수 확인 방법 : 전체공고대수(첫번째 열) - 접수대수(두번째 열)
◆ 이렇게 전체공고대수에서 접수대수를 뺐을 때 마이너스인 경우에만 지자체에 전화문의하여 확인하시면 됩니다.(영동은 보시다시피 많이 남았습니다.)
◆ 12. 20.(수) 까지 지급신청 가능한 차량만 신청하시기 바랍니다.
◆ 지원자격: 영동군 내 주소를 둔 지 30일 이상인 개인 또는 단체
◆ 첨부서류 등록 시(지원신청, 지급신청 각각) 1개의 PDF파일로 첨부
◆ 신청서에 출고일자 명시"
충북,증평군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","58
 (6)
 (0)
 (8)
 (44)",58,6,0,8,44,"47
 (2)
 (1)
 (6)
 (38)",47,2,1,6,38,11,6,"47
 (2)
 (1)
 (6)
 (38)",47,"11
 (4)
 (0)
 (2)
 (6)",신청접수 : 2023년 2월 21일 13:00 ~ 예산소진시
충북,진천군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","198
 (20)
 (20)
 (20)
 (138)",198,20,20,20,138,"181
 (4)
 (13)
 (9)
 (155)",181,4,13,9,155,17,0,"181
 (4)
 (13)
 (9)
 (155)",181,"17
 (16)
 (7)
 (11)
 (0)","1. 신청기간 : 2023. 2. 15.(수) ~ 예산 소진 시까지
2. 보급대수 : 승용 약198대(일반138,우선20, 법인20, 택시 20) ※예산범위 내 사업량은 변경될 수 있음
3. 선정방법 : 구매보조금 지원시스템(ev.or.kr) 출고,등록순
4. 기타 자세한 사항은 진천군 공고 제2023-218호 참고
5. 2023년 전기승용,화물 마감되었음을 알려드립니다."
충북,괴산군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","148
 (17)
 (0)
 (9)
 (122)",148,17,0,9,122,"75
 (2)
 (4)
 (1)
 (68)",75,2,4,1,68,73,54,"75
 (2)
 (4)
 (1)
 (68)",75,"73
 (15)
 (0)
 (8)
 (54)","지방세, 세외수입 체납시 보조금 지급 불가
승용 : 일반 90, 우선 15"
충북,음성군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","170
 (17)
 (0)
 (12)
 (141)",170,17,0,12,141,"134
 (11)
 (17)
 (3)
 (103)",134,11,17,3,103,36,38,"133
 (11)
 (17)
 (3)
 (102)",133,"37
 (6)
 (0)
 (9)
 (39)","★ 접수기간: 2023. 2. 15.(수) 10:00 ~ 예산 소진 시까지
★ 지원가능확인요청기간: 2023. 2. 17.(금) 09:00 ~ 예산 소진 시까지
★ 선정방법: 출고등록순

☆ 시스템 상 잔여대수와 실제 잔여대수는 상이하니 유선으로 확인 바랍니다."
충북,단양군,전기승용,"*일반: 출고등록순
*우선: 출고등록순","70
 (7)
 (2)
 (7)
 (54)",70,7,2,7,54,"62
 (0)
 (3)
 (2)
 (57)",62,0,3,2,57,8,0,"62
 (0)
 (3)
 (2)
 (57)",62,"8
 (7)
 (0)
 (5)
 (0)",
충남,천안시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","1037
 (88)
 (40)
 (133)
 (776)",1037,88,40,133,776,"1101
 (95)
 (58)
 (169)
 (779)",1101,95,58,169,779,0,0,"1098
 (95)
 (58)
 (169)
 (776)",1098,"0
 (0)
 (0)
 (0)
 (0)","---------------------------------------------------------
★2023년 전기자동차 민간보급사업(4차)알림★

 전기승용차 : 2023년 사업 종료 12.5
---------------------------------------------------------"
충남,공주시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","300
 (30)
 (0)
 (30)
 (240)",300,30,0,30,240,"233
 (10)
 (12)
 (16)
 (195)",233,10,12,16,195,67,45,"232
 (10)
 (12)
 (16)
 (194)",232,"68
 (20)
 (0)
 (14)
 (46)","2023년 전기자동차 보급사업 - ※  접수마감되었습니다 . ※ 
※ 23.5.1. 전기차 지침 개정으로 화물차 중고거래시 보조금 환수예정 ※ 

2차 공고
신청기간 : 2023. 7. 4.(화) 09:00 ~ 12. 1.(금) 18:00
보급대수 : 승용 150대 / 화물 30대
대상자 선정 : 출고등록순
1차때 신청서 넣으신 분들은 취소하고 다시 넣어주세요
공고 1페이지 반드시 확인해주시고 서류는 접수순으로 확인합니다(먼저 해달라고 전화x)
당일 신청서 접수 및 대상자 선정이 어려울수도 있으니 신청서는 미리 접수해주세요

*공고대수와 출고대수는 차종별 보조금 차이로 인해 다를 수 있음
**반드시 공고 확인 후 신청"
충남,보령시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","234
 (37)
 (0)
 (24)
 (173)",234,37,0,24,173,"152
 (2)
 (5)
 (9)
 (136)",152,2,5,9,136,82,37,"152
 (2)
 (5)
 (9)
 (136)",152,"82
 (35)
 (0)
 (15)
 (37)","※ 4분기 미집행 우선 물량 10월 4일 09:00부터 통합운영(별도 공고 없음) 

<전기자동차(승용, 2차) 보급사업 공고>

○ 접수기간: 2023. 5. 31. 09:00 ~ 예산 소진 시
○ 보급대수: 130대 (일반 91대, 택시 13대, 우선순위 26대)
○ 선정방법: 자동차 출고등록순
○ 신청자격: 보령시민, 보령시 소재 기업, 공공기관 등"
충남,아산시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","800
 (40)
 (0)
 (100)
 (660)",800,40,0,100,660,"868
 (46)
 (29)
 (85)
 (708)",868,46,29,85,708,0,0,"868
 (46)
 (29)
 (85)
 (708)",868,"0
 (0)
 (0)
 (15)
 (0)",**2023년 아산시 전기승용차 구매지원사업 마감**
충남,서산시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","475
 (48)
 (0)
 (30)
 (397)",475,48,0,30,397,"383
 (4)
 (10)
 (18)
 (351)",383,4,10,18,351,92,46,"383
 (4)
 (10)
 (18)
 (351)",383,"92
 (44)
 (0)
 (12)
 (46)",접수마감
충남,논산시,전기승용,"*일반: 출고등록순
*우선: 출고등록순","189
 (15)
 (0)
 (15)
 (159)",189,15,0,15,159,"156
 (9)
 (10)
 (6)
 (131)",156,9,10,6,131,33,28,"156
 (9)
 (10)
 (6)
 (131)",156,"33
 (6)
 (0)
 (9)
 (28)",
